id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01552370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00837280,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00141843,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00821763,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,839
12,0.00010100,0.00004606,0.00019026,0.000260225988701,knapsack,2,0,1,,30,28,1856
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,1.99883910,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,28,28,1309
15,0.00400000,0.00008728,0.00034131,0.000356244897959,bnb,3,0,1,,34,31,5254
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1325
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,4.99363971,32,31,7798
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00149198,31,31,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,2.99881687,31,31,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,knapsack,1,0,1,,31,30,4441
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.01434106,30,30,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,3.99786091,30,30,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00644113,30,30,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.99573006,30,30,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.02164522,30,30,1740
26,0.00200000,0.00003351,0.00016108,0.000161105769231,srd,2,0,2,3.99593603,30,29,2012
27,0.00337500,0.00003741,0.00010801,0.000119520766773,knapsack,4,1,1,,29,25,232
28,0.00300000,0.00004756,0.00009927,0.0000992901878914,knapsack,6,1,2,0.00003512,25,20,964
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034255,20,20,660
30,0.00332500,0.00002412,0.00011709,0.000136271186441,bnb,2,0,1,,21,19,560
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.01830387,19,19,1149
32,0.00330000,0.00001400,0.00006361,0.000127272727273,knapsack,1,0,1,,19,18,254
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00052589,18,18,836
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00166185,21,21,501
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00003680,21,21,577
36,0.00300100,0.00000878,0.00003180,0.0000318115942029,knapsack,3,0,2,0.00007796,21,19,-409
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00066498,20,19,14
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00311075,19,19,463
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00044394,19,18,-66
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00676757,18,18,562
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00344182,18,18,578
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00145322,19,19,516
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00677587,19,19,499
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00171720,21,21,477
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00039668,22,22,616
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00002023,22,21,120
47,0.00086900,0.00000842,0.00003177,0.0000343673469388,bnb,3,0,1,,21,18,-1332
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00150996,19,19,450
49,0.00322600,0.00000653,0.00003136,0.0000313942307692,knapsack,2,0,2,0.00011407,19,18,42
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00665292,18,18,491
51,0.00668000,0.00000689,0.00003311,0.000033125000,knapsack,2,0,2,0.00004399,18,17,66
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00677003,17,17,534
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00343389,17,17,831
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00010430,17,17,516
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00967138,17,17,469
56,0.00300000,0.00000610,0.00002929,0.0000293269230769,srd,2,0,2,1.99594707,17,16,14
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00634044,16,16,484
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00301054,16,16,332
59,0.00300000,0.00000867,0.00003138,0.0000314130434783,srd,3,0,2,0.00079110,16,14,-623
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.01100803,14,14,386
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00767640,14,14,319
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,srd,2,0,2,0.01507788,14,13,-63
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00434345,13,13,286
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00100784,13,13,366
65,0.00332500,0.00001225,0.00003559,0.0000356104651163,knapsack,4,0,2,0.00001564,13,10,-973
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.01174917,10,10,274
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00840993,10,10,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00508081,10,10,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00175229,10,10,-220
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01269617,10,10,-205
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00947838,10,10,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00746810,11,11,243
73,0.00320000,0.00001408,0.00006768,0.0000676923076923,srd,2,0,2,4.99217792,11,10,-27
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00413733,10,10,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00083291,10,10,-155
76,0.00339300,0.00000788,0.00003786,0.0000378846153846,srd,2,0,2,0.03278996,10,9,-512
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.02945642,9,9,-7
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02610871,9,9,6
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02277457,9,9,36
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.01944013,10,10,-60
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01010787,10,10,-133
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00677014,11,11,100
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.00343503,11,11,268
84,0.00332500,0.00001364,0.00006554,0.0000655769230769,srd,2,0,2,3.99359739,11,10,-27
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00042758,10,10,105
86,0.02047700,0.00000845,0.00004059,0.000040625000,srd,2,0,2,0.97567219,10,9,-419
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00737435,9,9,-128
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00471649,10,10,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00137899,10,10,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01380907,10,10,14
91,0.01500000,0.00000535,0.00002572,0.0000257211538462,knapsack,2,0,2,0.00018271,11,10,-611
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.02899677,10,10,-125
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.01899327,10,10,-230
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.01698556,13,13,57
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.01498093,13,13,-159
96,0.00200000,0.00001054,0.00007472,0.0000752857142857,knapsack,1,0,2,0.00098946,16,16,256
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,2.99779895,16,16,856
98,0.01500000,0.00001805,0.00008674,0.0000867788461538,knapsack,2,0,2,0.00002368,19,18,312
99,0.00200000,0.00002878,0.00008082,0.0000919488817891,knapsack,4,0,1,,18,14,-433
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,14,14,60
101,0.00457300,0.00001729,0.00006264,0.0000626449275362,knapsack,3,0,2,0.00036623,14,12,-344
102,0.00200000,0.00001025,0.00002977,0.0000297965116279,knapsack,4,0,2,0.00007676,22,19,-1532
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00006962,21,20,-493
104,0.00100000,0.00001103,0.00005302,0.0000530288461538,knapsack,2,0,2,0.00005859,24,23,-196
105,0.00300000,0.00000951,0.00004568,0.0000457211538462,srd,2,0,2,0.01484908,23,22,-319
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00045899,23,22,-37
107,0.00210000,0.00001490,0.00007160,0.0000716346153846,knapsack,2,0,2,0.00005551,26,25,113
108,0.00100000,0.00000546,0.00002624,0.00002625000,knapsack,2,0,2,0.00005005,28,27,-603
109,0.00492000,0.00001126,0.00004079,0.0000407971014493,knapsack,3,0,2,0.00001879,29,27,-802
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,knapsack,1,0,2,0.00009442,29,29,-11
111,0.00050000,0.00000976,0.00003536,0.0000353623188406,knapsack,3,0,2,0.00005089,30,28,-920
112,0.00413200,0.00000802,0.00005686,0.0000568794326241,knapsack,1,0,2,0.00030316,30,30,160
113,0.00310000,0.00001545,0.00005597,0.0000559782608696,knapsack,3,0,2,0.00001266,30,28,-447
114,0.00536100,0.00001689,0.00004908,0.0000490988372093,knapsack,4,0,2,0.00002527,31,28,-955
115,0.00100000,0.00001879,0.00010135,0.000106158192090,bnb,2,0,1,,28,26,93
116,0.00370900,0.00000657,0.00004653,0.0000465957446809,knapsack,1,0,2,0.00018443,27,27,58
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00004067,28,28,563
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,knapsack,2,0,2,0.00010127,28,27,-495
119,0.00300000,0.00001793,0.00003981,0.0000470603674541,bnb,5,0,1,,38,33,-1775
120,0.00924800,0.00002404,0.00003883,0.0000411643835616,bnb,8,0,1,,35,27,-3200
121,0.00500000,0.00000716,0.00003440,0.0000344230769231,knapsack,2,0,2,0.00004010,30,29,-494
122,0.00337500,0.00001472,0.00005332,0.0000533333333333,knapsack,3,0,2,0.00020528,30,28,-508
123,0.00850000,0.00001818,0.00008736,0.0000874038461538,knapsack,2,0,2,0.00008182,28,27,378
124,0.00800000,0.00001483,0.00010512,0.000105177304965,srd,1,0,2,0.00688517,28,28,638
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,28,25,-369
126,0.01500500,0.00001111,0.00003228,0.0000322965116279,knapsack,4,0,2,0.00000581,25,22,-1442
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,knapsack,1,0,2,0.00027573,22,22,-55
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,knapsack,1,0,2,0.00155050,22,22,-17
129,0.00321900,0.00000881,0.00006243,0.0000624822695035,knapsack,1,0,2,0.00131804,23,23,216
130,0.00610000,0.00001757,0.00006365,0.0000636594202899,knapsack,3,0,2,0.00004945,23,21,-266
131,0.00610000,0.00001118,0.00005371,0.00005375000,knapsack,2,0,2,0.00043932,21,20,-184
132,0.00634000,0.00000546,0.00003869,0.0000387234042553,knapsack,1,0,2,0.00053971,20,20,-18
133,0.01100000,0.00001014,0.00002945,0.0000294767441860,knapsack,4,0,2,0.00001834,25,22,-1518
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,knapsack,1,0,2,0.00224425,22,22,-101
135,0.01000000,0.00001251,0.00003034,0.0000303640776699,knapsack,5,0,2,0.00001048,26,22,-1967
136,0.01000000,0.00000935,0.00004493,0.0000449519230769,knapsack,2,0,2,0.00002967,22,21,-405
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,knapsack,1,0,2,0.00099478,23,23,-30
138,0.00170000,0.00000803,0.00003860,0.0000386057692308,knapsack,2,0,2,0.00028675,23,22,-436
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,knapsack,1,0,2,0.00339299,22,22,90
140,0.01299400,0.00001518,0.00004410,0.0000441279069767,knapsack,4,0,2,0.00005696,25,22,-1180
141,0.00200000,0.00000709,0.00005024,0.0000502836879433,knapsack,1,0,2,0.00138590,22,22,21
142,0.00200000,0.00001048,0.00004039,0.0000592090395480,knapsack,2,0,1,,24,22,-608
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,knapsack,1,0,2,0.00024546,26,26,123
144,0.00210000,0.00003209,0.00008384,0.000102523961661,knapsack,4,0,1,,28,24,-124
145,0.00925000,0.00001246,0.00004511,0.0000451449275362,knapsack,3,0,2,0.00002429,24,22,-776
146,0.00303500,0.00000727,0.00003491,0.0000349519230769,knapsack,2,0,2,0.00114363,22,21,-572
147,0.00166400,0.00000551,0.00003901,0.0000390780141844,knapsack,1,0,2,0.00433049,21,21,-90
148,0.00575300,0.00000797,0.00003829,0.0000383173076923,knapsack,2,0,2,0.00038266,22,21,-505
149,0.00980100,0.00000719,0.00003453,0.0000345673076923,knapsack,2,0,2,0.00109181,21,20,-568
150,0.00971900,0.00000586,0.00002813,0.0000281730769231,knapsack,2,0,2,0.00016695,21,20,-667
151,0.05900000,0.00001508,0.00002542,0.0000258219178082,bnb,8,0,1,,27,19,-4039
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srd,1,0,2,2.99577615,21,21,1136
153,0.05000000,0.00004941,0.00007372,0.0000846061643836,knapsack,8,0,1,,21,13,-1038
154,0.00997000,0.00000978,0.00006934,0.0000693617021277,knapsack,1,0,2,0.00002022,13,13,210
155,0.00320000,0.00000656,0.00004649,0.0000465248226950,knapsack,1,0,2,0.00559344,17,17,-15
156,0.12100000,0.00001663,0.00003470,0.0000347181628392,knapsack,6,0,2,0.00047681,19,14,-2342
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,knapsack,1,0,2,0.00642790,17,17,-118
158,0.00084400,0.00000524,0.00003713,0.0000371631205674,knapsack,1,0,2,0.00557866,17,17,-108
159,0.10000000,0.00001667,0.00003264,0.0000372098214286,knapsack,6,0,1,,18,12,-2653
160,0.10000000,0.00001120,0.00005382,0.0000538461538462,knapsack,2,0,2,0.00898880,17,16,-258
161,0.10000000,0.00000745,0.00003581,0.0000358173076923,srd,2,0,2,2.92876870,16,15,-557
162,0.00500000,0.00000680,0.00004821,0.0000482269503546,knapsack,1,0,2,0.00057186,22,22,1
163,0.00400000,0.00000615,0.00004358,0.0000436170212766,knapsack,1,0,2,0.00299385,25,25,-44
164,0.00500000,0.00002937,0.00005369,0.0000536928702011,knapsack,7,0,2,0.00001485,25,19,-1828
165,0.00500000,0.00000495,0.00003510,0.0000351063829787,knapsack,1,0,2,0.00398385,19,19,-129
166,0.00069400,0.00000393,0.00002785,0.0000278723404255,knapsack,1,0,2,0.00328592,19,19,-181
167,0.00300000,0.00000520,0.00003686,0.0000368794326241,knapsack,1,0,2,0.00028072,23,23,-111
168,0.01000000,0.00000565,0.00002715,0.0000271634615385,knapsack,2,0,2,0.00000920,23,22,-697
169,0.00100000,0.00000434,0.00002086,0.0000208653846154,knapsack,2,0,2,0.00000486,22,21,-783
170,0.01003000,0.00000677,0.00003252,0.0000325480769231,knapsack,2,0,2,0.00006323,23,22,-612
171,0.00137000,0.00000549,0.00003889,0.0000389361702128,knapsack,1,0,2,0.00662451,22,22,-91
172,0.00126800,0.00000705,0.00004999,0.00005000,knapsack,1,0,2,0.00534946,22,22,18
173,0.00450000,0.00000384,0.00002717,0.0000272340425532,knapsack,1,0,2,0.00084562,23,23,-154
174,0.00500000,0.00000911,0.00004376,0.0000437980769231,knapsack,2,0,2,0.00005412,25,24,-425
175,0.01020000,0.00001086,0.00005221,0.0000522115384615,srd,2,0,2,3.98366725,24,23,-249
176,0.01020000,0.00000627,0.00004442,0.0000444680851064,knapsack,1,0,2,0.01450415,24,24,-2
177,0.01050000,0.00000815,0.00003917,0.0000391826923077,knapsack,2,0,2,0.00013747,25,24,-467
178,0.01063000,0.00004894,0.00034704,0.000347092198582,knapsack,1,0,2,0.00382521,25,25,2993
179,0.00030000,0.00006414,0.00045489,0.000454893617021,knapsack,1,0,2,0.00003586,25,25,4062
180,0.00030000,0.00006653,0.00047184,0.000471843971631,knapsack,1,0,2,0.00053347,25,25,4229
181,0.01030000,0.00003218,0.00022818,0.000228226950355,srd,1,0,2,0.08946782,27,27,1783
182,0.01080000,0.00004504,0.00031942,0.000319432624113,srd,1,0,2,0.04915496,29,29,2687
183,0.01030000,0.00005981,0.00042412,0.000424184397163,srd,1,0,2,0.05988519,30,30,3723
184,0.01110000,0.00003621,0.00025680,0.000256808510638,srd,1,0,2,0.01845585,31,31,2067
185,0.00020000,0.00007868,0.00055797,0.000558014184397,knapsack,1,0,2,0.00025479,32,32,5048
186,0.00062000,0.00012365,0.00087693,0.000876950354610,knapsack,1,0,2,0.00175635,32,32,8206
187,0.01100000,0.00015265,0.00108256,0.00108262411348,srd,1,0,2,0.07831517,33,33,10241
188,0.01410000,0.00008029,0.00056942,0.000569432624113,srd,1,0,2,0.04570490,35,35,5162
189,0.01110000,0.00009632,0.00046306,0.000463076923077,srd,2,0,2,0.00815953,36,35,6577
190,0.00200000,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.00793524,36,36,4071
191,0.00210000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.00787068,39,39,1582
192,0.01210000,0.00002913,0.00020656,0.000206595744681,srd,1,0,2,0.03787087,40,40,1569
193,0.01100000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,0.03183168,40,39,1989
194,0.00200000,0.00004700,0.00018288,0.000191836734694,bnb,3,0,1,,46,43,1891
195,0.00110000,0.00002186,0.00007917,0.0000792028985507,knapsack,3,0,2,0.00002047,43,41,87
196,0.01552400,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00754710,43,43,1614
197,0.00100000,0.00001771,0.00012556,0.000125602836879,srd,1,0,2,0.00898229,45,45,828
198,0.00125100,0.00005819,0.00041264,0.000412695035461,knapsack,1,0,2,0.00039081,47,47,3670
199,0.01896200,0.00006560,0.00046520,0.000465248226950,srd,1,0,2,0.95664459,47,47,4191
200,0.00200000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00795187,47,47,2964
201,0.00761500,0.00009424,0.00066830,0.000668368794326,srd,1,0,2,0.00127305,53,53,6201
202,0.00020000,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00975391,54,54,2821
203,0.02767100,0.00004849,0.00023312,0.000233125000,srd,2,0,2,2.91004921,54,53,2799
204,0.00100000,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00684674,53,53,1266
205,0.01310600,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.01587128,54,54,1180
206,0.01890200,0.00006247,0.00006024,0.0000631010101010,bnb,14,0,1,,57,43,-3527
207,0.01400000,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.03168839,43,43,744
208,0.00400000,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.04513861,43,43,733
209,0.00100000,0.00001324,0.00006361,0.0000636538461538,knapsack,2,0,2,0.00005676,43,42,-32
210,0.00020000,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00106194,42,42,365
211,0.01829700,0.00001008,0.00004842,0.0000484615384615,knapsack,2,0,2,0.00014002,42,41,-285
212,0.10000000,0.00002953,0.00002302,0.0000279111531191,bnb,15,0,1,,49,34,-7344
213,0.03117800,0.00000800,0.00003845,0.0000384615384615,knapsack,2,0,2,0.00038528,34,33,-452
214,0.00025000,0.00000502,0.00003560,0.0000356028368794,knapsack,1,0,2,0.00013026,34,34,-57
215,0.07500000,0.00001512,0.00003506,0.0000396850393701,bnb,5,0,1,,39,34,-2036
216,0.01000000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00012252,35,34,-474
217,0.10000000,0.00001368,0.00003177,0.0000359055118110,bnb,5,0,1,,34,29,-2166
218,0.03008800,0.00001079,0.00003136,0.0000313662790698,knapsack,4,0,2,0.00009679,31,28,-1484
219,0.00020000,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00173392,28,28,-103
220,0.00020000,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00152278,30,30,366
221,0.12431200,0.00001008,0.00002929,0.0000293023255814,knapsack,4,0,2,0.00002477,32,29,-1540
222,0.03394100,0.00001761,0.00004272,0.0000427427184466,knapsack,5,0,2,0.00001686,32,28,-1548
223,0.00025000,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00071305,30,30,-109
224,0.03088700,0.00001947,0.00003559,0.0000355941499086,knapsack,7,0,2,0.00007623,31,25,-2679
225,0.15000000,0.00001686,0.00003005,0.0000326744186047,knapsack,7,0,1,,26,19,-3295
226,0.12500000,0.00001204,0.00002921,0.0000292233009709,knapsack,5,0,2,0.00002425,19,15,-2025
227,0.01000000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.00939617,16,16,-115
228,0.00600000,0.00000954,0.00006759,0.0000676595744681,knapsack,1,0,2,0.00338663,17,17,254
229,0.00250000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00088221,20,20,-110
230,0.00020000,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.00067567,21,21,27
231,0.00190000,0.00001020,0.00004902,0.0000490384615385,knapsack,2,0,2,0.00020650,23,22,-292
232,0.00030000,0.00001065,0.00003857,0.0000385869565217,knapsack,3,0,2,0.00003392,22,20,-867
233,0.11000000,0.00004421,0.00005570,0.0000614881780250,knapsack,10,0,1,,29,19,-2786
234,0.02540800,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00458607,20,20,1
235,0.00197900,0.00000965,0.00003494,0.0000349637681159,knapsack,3,0,2,0.00035835,20,18,-946
236,0.00100000,0.00000516,0.00002479,0.0000248076923077,knapsack,2,0,2,0.00008119,20,19,-642
237,0.00020700,0.00000567,0.00004015,0.0000402127659574,knapsack,1,0,2,0.00149616,21,21,-17
238,0.00057000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.00042229,21,21,126
239,0.00020000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00021175,25,25,325
240,0.01693800,0.00001832,0.00004445,0.0000444660194175,knapsack,5,0,2,0.00000777,27,23,-1483
241,0.00410000,0.00001793,0.00005212,0.0000521220930233,knapsack,4,0,2,0.00001823,26,23,-874
242,0.03073900,0.00001305,0.00006271,0.0000627403846154,knapsack,2,0,2,0.00054795,25,24,-47
243,0.00350200,0.00001811,0.00002944,0.0000294471544715,srd,8,0,2,0.06853726,31,24,-3452
244,0.10000000,0.00002388,0.00002977,0.0000366257668712,bnb,9,0,1,,24,15,-3858
245,0.01050200,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00135924,17,16,-512
246,0.10020000,0.00000796,0.00003824,0.0000382692307692,knapsack,2,0,2,0.01722943,16,15,-455
247,0.00050000,0.00000401,0.00002838,0.0000286428571429,knapsack,1,0,2,0.00085523,16,16,-108
248,1.00010000,0.00000951,0.00004568,0.0000457211538462,knapsack,2,0,2,0.00074572,18,17,-333
249,0.10351900,0.00001524,0.00003697,0.0000369902912621,knapsack,5,0,2,0.00054874,19,15,-1761
250,0.00810000,0.00000409,0.00002895,0.0000290070921986,knapsack,1,0,2,0.00912534,15,15,-104
251,0.20000000,0.00001490,0.00007160,0.0000716346153846,knapsack,2,0,2,0.00008510,17,16,99
252,0.05300000,0.00000993,0.00004771,0.0000477403846154,srd,2,0,2,0.90418340,16,15,-360
253,0.10000000,0.00000725,0.00002624,0.0000262681159420,srd,3,0,2,2.91015948,17,15,-1213
254,0.10000000,0.00000793,0.00003808,0.000038125000,srd,2,0,2,4.92216999,16,15,-521
255,0.20000000,0.00000518,0.00003669,0.0000367375886525,knapsack,1,0,2,0.70417822,16,16,-121
256,0.00020000,0.00000732,0.00005190,0.0000519148936170,knapsack,1,0,2,0.00019268,16,16,29
257,0.05092100,0.00000405,0.00002870,0.0000287234042553,knapsack,1,0,2,0.00407495,17,17,-200
258,0.00400000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00006996,17,17,-134
259,0.00030000,0.00001724,0.00005597,0.0000703673469388,knapsack,3,0,1,,20,17,-726
260,0.00020000,0.00000399,0.00002825,0.0000282978723404,knapsack,1,0,2,0.00079601,17,17,-197
261,0.00040000,0.00000372,0.00002638,0.0000263829787234,knapsack,1,0,2,0.00039229,17,17,-210
262,0.00020000,0.00000721,0.00005110,0.0000511347517730,knapsack,1,0,2,0.00018508,22,22,22
263,0.00150000,0.00000565,0.00002714,0.0000271634615385,knapsack,2,0,2,0.00009435,28,27,-612
264,0.00050000,0.00000955,0.00002317,0.0000231796116505,knapsack,5,0,2,0.00001498,27,23,-2232
265,0.01422200,0.00001832,0.00005352,0.0000747755102041,knapsack,3,0,1,,27,24,-599
266,0.00070000,0.00000562,0.00003981,0.0000398581560284,knapsack,1,0,2,0.00019438,24,24,-23
267,0.00090000,0.00000586,0.00004150,0.0000415602836879,knapsack,1,0,2,0.00199414,25,25,-6
268,0.00020000,0.00000808,0.00003883,0.0000388461538462,knapsack,2,0,2,0.00005078,25,24,-514
269,0.00020000,0.00000482,0.00003415,0.0000341843971631,knapsack,1,0,2,0.00059518,24,24,-146
